run,count,hw_ids,wireless_all,elapsed_s
1,1,a89063c05ae79779,True,3.749
2,1,a89063c05ae79779,True,3.828
3,1,a89063c05ae79779,True,3.923
4,1,a89063c05ae79779,True,3.91
5,1,a89063c05ae79779,True,3.86
6,1,a89063c05ae79779,True,3.868
7,1,a89063c05ae79779,True,3.964
8,1,a89063c05ae79779,True,3.898
9,1,a89063c05ae79779,True,3.797
10,1,a89063c05ae79779,True,3.852
11,1,a89063c05ae79779,True,3.819
12,1,a89063c05ae79779,True,3.903
13,1,a89063c05ae79779,True,3.842
14,1,a89063c05ae79779,True,3.914
15,1,a89063c05ae79779,True,3.819
16,1,a89063c05ae79779,True,3.826
17,1,a89063c05ae79779,True,3.806
18,1,a89063c05ae79779,True,3.975
19,1,a89063c05ae79779,True,3.828
20,1,a89063c05ae79779,True,3.832
